Venue ID,MSI ID,Venue Name,Website,Venue Address,Plotted the Schedule,No Schedule Available Reason,Remarks,Action Taken,Scheduling Platform,Source Information Type,Language,No. of Classes,Date,Start Time,End Time,AHT,Updated until January 15
64594,117929,Anytime Fitness,https://www.anytimefitness.com/locations/punta-gorda-fl,"3941 Tamiami Trail, Unit 3165, Punta Gorda, FL 33950, U",Admin Plotted,N/A,N/A,No need to update,N/A,Text,English,86,1/7/2026,1/7/2026 22:11,1/7/2026 22:12,00:00:17,
68213,124594,Get Sexy Movement Fitness Studio,https://www.getsexymovementfitness.com/schedule2,"62 Grandview Plaza Shopping Center, Florissant, MO 63033",Admin Plotted,N/A,N/A,No need to update,N/A,Image,English,8,1/5/2026,1/5/2026 22:53,1/5/2026 22:53,00:00:25,
70114,147863,Sweeney&#39;s Gym,https://sweeneysgym.com/classes/,"6050 South Howell Avenue, Milwaukee, WI 53207, US",Admin Plotted,N/A,N/A,No need to update,N/A,Text,English,4,1/6/2026,1/7/2026 00:00,1/7/2026 00:00,00:00:16,
58321,182559,Anytime Fitness (Mount Vernon),https://www.anytimefitness.com/gyms/3002/mount-vernon-o,"1417 Coshocton Avenue, Mount Vernon, OH 43050, US",Admin Plotted,N/A,N/A,No need to update,N/A,Text,English,56,1/5/2026,1/6/2026 04:22,1/6/2026 04:22,00:00:17,
52781,185428,Swedish Fit (Championnet),https://docs.google.com/spreadsheets/d/e/2PACX-1vQHTDCW,"2 Impasse Massonnet, Paris, 75018, FR",Admin Plotted,N/A,SWEDISH FIT 1/07/2026,No need to update,N/A,Text,French,4,1/7/2026,1/7/2026 22:08,1/7/2026 22:09,00:00:17,
60160,28058,"Anytime Fitness (York, PA)",https://www.anytimefitness.com/gyms/2146/york-pa-17403/,"930 South Richland Avenue, York, PA 17403, US",Admin Plotted,N/A,N/A,No need to update,N/A,Text,English,86,1/5/2026,1/5/2026 23:31,1/5/2026 23:32,00:00:24,
178228,296913,BCUK (Eastleigh),https://www.bcuk.uk/all-locations/eastleigh/,"Itchen Valley Country Park, Allington Lane West End, Ea",Admin Plotted,N/A,N/A,No need to update,N/A,Text,English,6,1/7/2026,1/8/2026 00:20,1/8/2026 00:20,00:00:15,
178482,297171,BCUK (Reading),https://www.bcuk.uk/all-locations/reading/,"Cintra Park, Northumberland Avenue, Reading, RG2 7PS, G",Admin Plotted,N/A,N/A,No need to update,N/A,Text,English,6,1/5/2026,1/6/2026 04:25,1/6/2026 04:26,00:00:14,
194732,314913,Basic-Fit (Arent Janszoon Ernststraat 1),https://www.basic-fit.com/nl-nl/clubs/basic-fit-amsterd,"Arent Janszoon Ernststraat 1, Amsterdam, 1083 GP, NL",Admin Plotted,N/A,N/A,No need to update,N/A,Text,Dutch,188,1/5/2026,1/5/2026 23:35,1/5/2026 23:36,00:00:41,
204853,332150,Anytime Fitness,https://www.anytimefitness.com/locations/kansas-city-mi,"7000 Northwest 83 Street, Kansas City, MO 64152, US",Admin Plotted,N/A,N/A,No need to update,N/A,Text,English,60,1/5/2026,1/5/2026 22:58,1/5/2026 22:58,00:00:19,
